name,genre,studio,country,duration,age_limit,release,rental_duration,rating

"Wind River","Action","Warner Brothers Pictures","United Kingdom",110,16,2017,13,7.7
"À bras ouverts","Comedy","TF1","France",92,16,2017,13,5.5
"Black Level","Drama","Universal Pictures","Ukraine",91,16,2017,6,5.7
"The Hitman's Bodyguard","Action","Summit Entertainment","USA",111,16,2017,48,6.9
"Seven Sisters","Fantasy","Vertigo Média","United Kingdom",123,16,2017,34,6.9
"Rabbit school","Cartoon","Warner Brothers Pictures","Germany",79,0,2017,13,5.7
"Wakefield","Drama","Marro Films","USA",106,16,2017,13,6.3
"Mon ange","Melodrama","Ciné","France",79,16,2017,6,6.1
"All eyez on me","Drama","Summit Entertainment","USA",139,16,2017,20,5.9
"Paris pieds nus","Comedy","Ciné","France",83,12,2017,27,6.3
"Suicide squad","Fantasy","Cross Creek Pictures","USA",123,16,2017,20,5.9
"Jour J","Comedy","Ciné","France",94,12,1970,20,6.2
"Drunk parents","Comedy","Bron Studios","USA",110,16,2017,27,3.9
"War with Grandpa","Comedy","Marro Films","USA",97,0,2017,71,5.6
"Le redoutable","Biographical","Studio Canal","France",102,16,2017,6,6.6
"Molly's Game","Drama","STX Entertainment","USA",141,16,2017,34,7.4
"A Bad Moms Christmas","Comedy","STX Entertainment","USA",105,16,2017,41,5.6
"You Were Never Really Here","Thriller","Film4","United Kingdom",95,16,2018,6,6.8
"Jumanji Welcome to the Jungle","Adventure","Columbia Pictures","USA",120,12,2017,69,6.9
"Just Getting Started","Comedy","Entertainment One","USA",94,16,2017,13,4.5
"A Little Something for Your Birthday","Comedy","Universal Pictures","USA",94,12,2017,13,5.2
"Replicas","Thriller","Ingenious Media","USA",107,16,2018,20,5.5
"The Shape of Water","Drama","TSG Entertainment","USA",123,16,2017,62,7.3
"Frost","Drama","Dayenu Films","Lithuania",120,16,2017,6,5.7
"Downsizing","Fantasy","Paramount Pictures","USA",135,12,2018,27,5.7
"Isle of Dogs","Comedy","Traumfabrik Babelsberg","USA",101,12,2017,20,7.9
"Deadpool 2","Action","Universal Pictures","USA",119,18,2018,57,7.7
"Avengers Infinity War","Fantasy","Marvel Studios","USA",150,12,2018,42,8.4
"The Predator","Action","TSG Entertainment","USA",107,16,2018,34,5.3
"The Greatest Showman","Drama","TSG Entertainment","USA",104,0,2017,57,7.6
"Alita Battle Angel","Fantasy","20th Century Fox","USA",122,12,2018,47,7.3
"Ant-Man and the Wasp","Fantasy","Walt Disney Pictures","United Kingdom",118,12,2018,41,7.0
"Ocean's Eight","Crime","Warner Brothers Pictures","USA",111,12,2018,55,6.3
"Jurassic World Fallen Kingdom","Action","Ambience Entertainment","USA",128,12,2018,6,6.2
"Maze Runner The Death Cure","Fantasy","20th Century Fox","USA",139,16,2018,48,6.3
"The Florida Project","Drama","June Pictures","USA",115,16,2017,13,7.6
"Falling","Drama","Universal Pictures","Ukraine",105,16,2017,6,7.0
"Geostorm","Action","Warner Brothers Pictures","USA",108,12,2017,6,5.3
"Paddington 2","Family","Studio Canal","United Kingdom",105,0,2017,6,7.8
"Fifty Shades Freed","Drama","Marro Films","USA",106,16,2018,20,4.5
"Eat locals","Horrors","Evolution Pictures","United Kingdom",94,16,2017,20,5.4
"Future world","Fantasy","RabbitBandini Productions","USA",90,16,2017,20,3.2
"I","Biographical","BBC Films","USA",119,16,2017,20,7.5
"Gotti","Thriller","Emmett","USA",105,16,2017,20,4.8
"Submergence","Thriller","Warner Brothers Pictures","Germany",112,16,2017,6,5.4
"Darkest Hour","Biographical","Universal Pictures","United Kingdom",125,12,2017,67,7.4
"Final Portrait","Drama","Riverstone Pictures","United Kingdom",90,16,2018,6,6.3
"Insidious The Last Key","Thriller","Bron Studios","Canada",103,16,2018,41,5.7
"Happy End","Drama","Ciné","France",107,16,2018,6,6.7
"Gnome Alone","Animation","Bron Studios","Canada",85,0,2018,27,5.6
"Aus dem Nichts","Drama","Warner Brothers Pictures","Germany",106,16,2018,6,7.1
"Alpha","Drama","Columbia Pictures","USA",96,12,2017,41,6.7
"Red Sparrow","Thriller","TSG Entertainment","USA",140,16,2018,41,6.6
"Game Night","Comedy","New Line Cinema","USA",93,16,2018,34,6.9
